index,name,genre,area,lat,lon,weekday_r,weekend_r,note,address,google_maps_url,hours_status
21,ゴーサイン食堂,レストラン,博多区 住吉,33.5823757,130.4139882,"[""r(18, 0, 0, 0)""]","[""r(18, 0, 0, 0)""]",定休日: 水曜日,〒812-0018 福岡県福岡市博多区住吉５丁目２０−１ Ｇｏｏｄｓ ＷＭ,https://www.google.com/maps?cid=8964588581668274037&hl=ja,ok
22,すみ酒場青二才,居酒屋,中央区 渡辺通,33.5877441,130.404078,"[""r(18, 0, 3, 0)""]","[""r(18, 0, 3, 0)"", ""r(17, 0, 23, 0)""]",定休日: 月曜日,〒810-0004 福岡県福岡市中央区渡辺通５丁目５−１１,https://www.google.com/maps?cid=10398230485208260945&hl=ja,ok
23,ラーメン 豚ギャング 天神店,ラーメン,中央区 舞鶴,33.5931795,130.3941806,"[""r(11, 0, 23, 0)""]","[""r(11, 0, 23, 0)""]",,〒810-0073 福岡県福岡市中央区舞鶴１丁目８−２８,https://www.google.com/maps?cid=7263787414326483637&hl=ja,ok
24,中華そば 郷家(ごうや),ラーメン,南区 寺塚,33.5557848,130.4006194,[],[],店舗一致確認失敗,〒815-0074 福岡県福岡市南区寺塚１丁目２６−７,https://www.google.com/maps?cid=10759798256551130372&hl=ja,mismatch
25,肉肴なおちゃん,レストラン,南区 玉川町,33.5661509,130.4167361,"[""r(17, 0, 0, 0)""]","[""r(17, 0, 0, 0)""]",,〒815-0037 福岡県福岡市南区玉川町 12₋4,https://www.google.com/maps?cid=16164449621494982938&hl=ja,ok
26,COCINA,レストラン,中央区 警固,33.5843846,130.3895369,"[""r(11, 0, 15, 0)""]","[""r(11, 0, 15, 0)""]",定休日: 火曜日・水曜日,〒810-0023 福岡県福岡市中央区警固２丁目１７−２５,https://www.google.com/maps?cid=8002246817007758631&hl=ja,ok
27,長浜百味ラーメン 四川香辣牛肉麵,ラーメン,博多区 博多駅前,33.5842825,130.4169475,"[""r(17, 0, 23, 30)""]","[""r(17, 0, 23, 30)""]",定休日: 月曜日,〒812-0011 福岡県福岡市博多区博多駅前４丁目２４−１,https://www.google.com/maps?cid=1854016547969427072&hl=ja,ok
28,うなぎ処 陶華堂,レストラン,中央区 天神,33.5926754,130.3978533,"[""r(11, 0, 15, 0)"", ""r(17, 0, 21, 0)""]","[""r(11, 0, 15, 0)"", ""r(17, 0, 21, 0)""]",,〒810-0001 福岡県福岡市中央区天神３丁目１−１３,https://www.google.com/maps?cid=858511305151006114&hl=ja,ok
29,いろり焼 筑前堀,レストラン,西区 今宿上ノ原,33.5649077,130.2842635,"[""r(12, 0, 22, 0)""]","[""r(12, 0, 22, 0)"", ""r(9, 0, 22, 0)""]",定休日: 月曜日,〒819-0163 福岡県福岡市西区今宿上ノ原１２５,https://www.google.com/maps?cid=8659372532714607541&hl=ja,ok
30,十二ホテル福岡,レストラン,博多区 東平尾,33.5915091,130.4578552,[],[],営業時間取得不可,〒812-0853 福岡県福岡市博多区東平尾１丁目１６−２５,https://www.google.com/maps?cid=10680072464070722871&hl=ja,no_hours
31,Ollie,レストラン,中央区 警固,33.5837682,130.3904582,"[""r(17, 0, 1, 0)""]","[""r(17, 0, 1, 0)""]",,〒810-0023 福岡県福岡市中央区警固２丁目１１−１６ ARTTY警固 1F,https://www.google.com/maps?cid=3118435518843660603&hl=ja,ok
32,stand GRETEL（スタンド グレーテル）,焼き肉,中央区 渡辺通,33.5884265,130.4043695,"[""r(17, 0, 1, 0)""]","[""r(17, 0, 1, 0)""]",,〒810-0004 福岡県福岡市中央区渡辺通５丁目１−２６ アローマンション１０３号館 103号館 105,https://www.google.com/maps?cid=17887779929769459734&hl=ja,ok
33,居酒屋・大衆割烹 文治（ぶんじ）,居酒屋,南区 玉川町,33.5681569,130.4181188,"[""r(11, 0, 0, 0)""]","[""r(13, 0, 0, 0)""]",,〒815-0037 福岡県福岡市南区玉川町１７−２３,https://www.google.com/maps?cid=6521623532902179516&hl=ja,ok
34,勉強カフェ博多プレース,カフェ,博多区 博多駅東,33.5906675,130.4234598,"[""r(9, 30, 22, 30)""]","[""r(9, 30, 20, 0)""]",,〒812-0013 福岡県福岡市博多区博多駅東１丁目１３−１７ 松岡ビル 8階,https://www.google.com/maps?cid=16864858354888158440&hl=ja,ok
35,The Millennials 福岡（ザ・ミレニアルズ福岡）,レストラン,博多区 中洲,33.5937751,130.4046018,[],[],営業時間取得不可,〒810-0801 福岡県福岡市博多区中洲５丁目２−１８,https://www.google.com/maps?cid=4173089185352562782&hl=ja,no_hours
36,本格博多回転寿司大河すし,寿司,博多区 西月隈,33.5658149,130.4610396,[],[],営業時間取得不可,〒812-0857 福岡県福岡市博多区西月隈４丁目８−２,https://www.google.com/maps?cid=17692224266032592825&hl=ja,no_hours
37,チリ・ジョー,レストラン,東区 奈多,33.6888748,130.41646,"[""r(11, 30, 21, 0)""]","[""r(11, 30, 21, 0)""]",定休日: 木曜日,〒811-0204 福岡県福岡市東区奈多１丁目１１−１０ 東海マンション奈多,https://www.google.com/maps?cid=12704975113740059198&hl=ja,ok
38,生ホルモンいただき 裏天神店,焼き肉,中央区 渡辺通,33.5883241,130.403386,[],[],店舗一致確認失敗,〒810-0004 福岡県福岡市中央区渡辺通５丁目２−１０,https://www.google.com/maps?cid=1766693902662789264&hl=ja,mismatch
39,そば文六,そば・うどん,中央区 天神,33.5936416,130.3946351,"[""r(11, 30, 14, 30)"", ""r(17, 0, 21, 0)""]","[""r(11, 30, 20, 0)""]",定休日: 日曜日,〒810-0001 福岡県福岡市中央区天神３丁目８−１３ ＧＲＥＡＴ ＬＥＡＰ 2階,https://www.google.com/maps?cid=16655286676030959803&hl=ja,ok
40,ナイス!はっちゃん,レストラン,中央区 舞鶴,33.592108,130.3922543,[],[],営業時間取得不可,〒810-0073 福岡県福岡市中央区舞鶴２丁目７−１ ライオンズマンション,https://www.google.com/maps?cid=607507392589032994&hl=ja,no_hours
41,七福亭ラーメン,ラーメン,城南区 南片江,33.5457372,130.371629,"[""r(11, 30, 15, 30)""]","[""r(11, 30, 15, 30)""]",定休日: 月曜日・金曜日,〒814-0143 福岡県福岡市城南区南片江２丁目３０−２４,https://www.google.com/maps?cid=371133873066282107&hl=ja,ok
42,Kafe Toruko,レストラン,中央区 六本松,33.5806586,130.3790407,[],[],営業時間取得不可,〒810-0044 福岡県福岡市中央区六本松１丁目３−１４,https://www.google.com/maps?cid=17853224437483228901&hl=ja,no_hours
43,杏仁荘,レストラン,博多区 博多駅南,33.579827,130.4288657,"[""r(11, 30, 14, 0)"", ""r(18, 0, 21, 30)""]","[""r(11, 30, 14, 0)"", ""r(18, 0, 21, 30)""]",,〒812-0016 福岡県福岡市博多区博多駅南４丁目１７−６,https://www.google.com/maps?cid=17648832054337889145&hl=ja,ok
44,猫と月,レストラン,中央区 清川,33.581006,130.410661,[],[],営業時間取得不可,〒810-0005 福岡県福岡市中央区清川２丁目１−２１,https://www.google.com/maps?cid=5023890209045820708&hl=ja,no_hours
45,ブラボーラーメン,ラーメン,博多区 住吉,33.5811485,130.4156743,"[""r(20, 0, 5, 0)""]","[""r(20, 0, 5, 0)""]",定休日: 火曜日・水曜日,〒812-0018 福岡県福岡市博多区住吉５丁目１８−１０,https://www.google.com/maps?cid=3825989735652483040&hl=ja,ok
46,醤油そば 岩男,そば・うどん,博多区 博多駅南,33.5827436,130.4255482,"[""r(11, 0, 20, 0)""]","[""r(11, 0, 20, 0)""]",定休日: 火曜日,〒812-0016 福岡県福岡市博多区博多駅南３丁目８−１４,https://www.google.com/maps?cid=14220608062103440525&hl=ja,ok
47,The358 SORA,レストラン,東区 香椎照葉,33.667703,130.4145661,[],[],営業時間取得不可,〒813-0017 福岡県福岡市東区香椎照葉６丁目６−５,https://www.google.com/maps?cid=11968801955133109755&hl=ja,no_hours
48,【MIDORI STORE】ミドリストア,レストラン,南区 大橋,33.55729,130.4288181,[],[],店舗一致確認失敗,〒815-0033 福岡県福岡市南区大橋２丁目１１−１２,https://www.google.com/maps?cid=7450186644403141375&hl=ja,mismatch
49,ホテルマリノアリゾート福岡 ブッフェレストラン ブルシエール,レストラン,西区 小戸,33.5959068,130.3233352,[],[],営業時間取得不可,〒819-0001 福岡県福岡市西区小戸２丁目１２−４３,https://www.google.com/maps?cid=3325166948032859742&hl=ja,no_hours
50,ラーメン製作所 FUKUMEN,ラーメン,南区 曰佐,33.5391851,130.4391538,"[""r(11, 0, 14, 30)"", ""r(18, 30, 21, 30)""]","[""r(11, 0, 14, 30)"", ""r(18, 30, 21, 30)""]",,〒811-1313 福岡県福岡市南区曰佐２丁目２７−２７,https://www.google.com/maps?cid=8840941804220386787&hl=ja,ok
51,てっぱんやき屋 福蔵,レストラン,中央区 薬院,33.5794819,130.3985239,"[""r(18, 0, 0, 0)""]","[""r(18, 0, 0, 0)""]",,〒810-0022 福岡県福岡市中央区薬院３丁目１２−２２,https://www.google.com/maps?cid=9238747933849848594&hl=ja,ok
52,炭と薪 CICADA,レストラン,中央区 舞鶴,33.5943472,130.3940327,[],[],営業時間取得不可,〒810-0073 福岡県福岡市中央区舞鶴１丁目６−２８ エステート・モア天神倶楽部 105,https://www.google.com/maps?cid=6022451553425061425&hl=ja,no_hours
